input_id	dealiased_id	standard_id	short_id
PMID:23152586	PMID:23152586	pubmed:23152586	cI11ejzq
PMID:2357341	PMID:2357341	pubmed:2357341	hSqUyB87
PMID:23891794	PMID:23891794	pubmed:23891794	1GbE72Av3
PMID:23996276	PMID:23996276	pubmed:23996276	n5Wfo648
PMID:24099985	PMID:24099985	pubmed:24099985	K5AVEt3N
PMID:24226265	PMID:24226265	pubmed:24226265	kq1g6fbm
PMID:24501436	PMID:24501436	pubmed:24501436	12bCJUdbt
PMID:2456487	PMID:2456487	pubmed:2456487	1ANIrMPXt
PMID:2463283	PMID:2463283	pubmed:2463283	sj5Xo1wt
PMID:24704327	PMID:24704327	pubmed:24704327	15U5Y7VK0
PMID:24996051	PMID:24996051	pubmed:24996051	11QYlfKuj
PMID:25062696	PMID:25062696	pubmed:25062696	acQ5dIHe
PMID:2521057	PMID:2521057	pubmed:2521057	vjOQrLWR
PMID:2542825	PMID:2542825	pubmed:2542825	f6lQBuXe
PMID:2549846	PMID:2549846	pubmed:2549846	1DR7iEAqw
PMID:2557795	PMID:2557795	pubmed:2557795	nUWm293R
PMID:25649148	PMID:25649148	pubmed:25649148	4Cf4B04y
PMID:2575832	PMID:2575832	pubmed:2575832	10OPrNeu4
PMID:2602422	PMID:2602422	pubmed:2602422	xD3mw42b
PMID:26095065	PMID:26095065	pubmed:26095065	ZpE7ecP3
PMID:26251824	PMID:26251824	pubmed:26251824	12TyRPKrU
PMID:26295830	PMID:26295830	pubmed:26295830	hLPQVeF1
PMID:26468408	PMID:26468408	pubmed:26468408	O5ipO2Vj
PMID:27003787	PMID:27003787	pubmed:27003787	zjSrCpzh
PMID:27061071	PMID:27061071	pubmed:27061071	7nRIHLps
PMID:2709038	PMID:2709038	pubmed:2709038	qoBVlBR3
PMID:27357212	PMID:27357212	pubmed:27357212	17YdNk9RI
PMID:27891695	PMID:27891695	pubmed:27891695	GuwbLieO
PMID:28059471	PMID:28059471	pubmed:28059471	xvaaRmt8
PMID:28190674	PMID:28190674	pubmed:28190674	HmYmqonr
PMID:28626918	PMID:28626918	pubmed:28626918	2TD1L1pC
PMID:28725697	PMID:28725697	pubmed:28725697	FCDc9gjX
PMID:2899295	PMID:2899295	pubmed:2899295	15i2wj5JF
PMID:29420861	PMID:29420861	pubmed:29420861	1BUlEMhhz
PMID:29917054	PMID:29917054	pubmed:29917054	yAOPGTOa
PMID:30201049	PMID:30201049	pubmed:30201049	1si17hYT
PMID:30485555	PMID:30485555	pubmed:30485555	1DiKaghou
PMID:30590599	PMID:30590599	pubmed:30590599	sbBIRcWS
PMID:31454423	PMID:31454423	pubmed:31454423	KBH8DQ0L
PMID:31769073	PMID:31769073	pubmed:31769073	4dwTllk0
PMID:3239957	PMID:3239957	pubmed:3239957	pceYy1rV
PMID:32881029	PMID:32881029	pubmed:32881029	IVgQGOiR
PMID:33684514	PMID:33684514	pubmed:33684514	Np6tB51X
PMID:3379428	PMID:3379428	pubmed:3379428	tz6KPYvp
PMID:33899954	PMID:33899954	pubmed:33899954	179v7FZCl
PMID:34092653	PMID:34092653	pubmed:34092653	QZaiEx1Q
PMID:3998751	PMID:3998751	pubmed:3998751	BETKRy6Z
PMID:6475484	PMID:6475484	pubmed:6475484	13uHUL9zP
PMID:6533352	PMID:6533352	pubmed:6533352	1F7LjrcL1
PMID:6847136	PMID:6847136	pubmed:6847136	BkE5K83Z
PMID:7398694	PMID:7398694	pubmed:7398694	84XwCH0B
PMID:7494602	PMID:7494602	pubmed:7494602	lZKnAErz
PMID:7536004	PMID:7536004	pubmed:7536004	T5ztK8Ei
PMID:7700528	PMID:7700528	pubmed:7700528	ygOtM7mN
PMID:7985492	PMID:7985492	pubmed:7985492	1B534KCFa
PMID:8199342	PMID:8199342	pubmed:8199342	oI7YurXB
PMID:8285597	PMID:8285597	pubmed:8285597	lBeR5xNr
PMID:8433802	PMID:8433802	pubmed:8433802	mGYbsYzz
PMID:8437705	PMID:8437705	pubmed:8437705	THFH3aEo
PMID:8628464	PMID:8628464	pubmed:8628464	3cOTLBAP
PMID:8737406	PMID:8737406	pubmed:8737406	1DQL24fbT
PMID:8809817	PMID:8809817	pubmed:8809817	14xzPmTvy
PMID:8866425	PMID:8866425	pubmed:8866425	5RXeUc4U
PMID:8990048	PMID:8990048	pubmed:8990048	aIqhB6Kp
PMID:9039456	PMID:9039456	pubmed:9039456	anNRFOzv
PMID:9106122	PMID:9106122	pubmed:9106122	OJsM7N5q
PMID:9270609	PMID:9270609	pubmed:9270609	KntwBnR0
PMID:9335015	PMID:9335015	pubmed:9335015	AZQwe0cr
PMID:9335016	PMID:9335016	pubmed:9335016	xemWIhFq
PMID:9387796	PMID:9387796	pubmed:9387796	4Rr9O2qs
PMID:9798081	PMID:9798081	pubmed:9798081	CDFzUIb9
PMID:4661701968	PMID:4661701968	pubmed:4661701968	14pCQrsl
PMID:16606773	PMID:16606773	pubmed:16606773	lNjJjtKI
PMID:20628197	PMID:20628197	pubmed:20628197	hcUU1chN
PMID:3475716	PMID:3475716	pubmed:3475716	1FQYmpYZn
PMID:7704619	PMID:7704619	pubmed:7704619	RU00LiSa
